ERS542448,62848,47172
ERS2540945,55576,47615
ERS2541049,58251,47371
ERS2541305,58385,47059
ERS1142749,67363,47898
ERS2540955,60000,47146
ERS542374,57209,47338
ERS1142696,64140,48041
ERS542488,56025,47699
ERS1142739,67318,48034
ERS1142714,66718,47956
ERS1142700,70627,47928
ERS1142780,57749,48259
ERS542317,56040,47533
ERS1142728,69302,48033
ERS1142727,68410,47909
ERS2541192,60070,47206
ERS2541226,59639,47287
ERS542396,61303,47497
ERS2541198,55410,47869
ERS2541105,55390,47687
ERS542302,55651,47530
ERS2541156,60117,47363
ERS2540972,60368,46778
ERS2541134,57325,47763
ERS1142770,67743,47904
ERS1142698,72884,47828
ERS1142737,69205,47914
ERS542413,63537,47756
ERS1142773,58626,48576
ERS2541400,58099,47243
ERS1142738,66710,47927
ERS2541401,55828,47823
ERS1142741,68394,47962
ERS542306,56571,47346
ERS1142732,68157,48017
ERS1142733,71067,47950
ERS542435,63720,47411
ERS542437,63315,47435
ERS1142784,66343,48187
ERS2541397,58881,47525
ERS1142783,67106,48214
ERS2541398,58934,47512
ERS1142699,70437,47910
ERS1142782,62634,48144
ERS1142694,63060,48219
ERS2541399,54653,47925
ERS542361,55493,47354
ERS1142779,61034,48319
ERS1142730,67443,48064
ERS1142742,64330,48194
ERS1142729,66762,48040
ERS1142744,66842,48015
ERS542394,61885,47366
ERS1142762,73415,47975
ERS2541090,62036,47224
ERS2541218,57884,47822
ERS2541287,60468,47543
ERS2541247,58022,47446
ERS2541195,58174,47583
ERS542545,57365,47179
ERS2541153,54936,47699
ERS2541152,59997,47306
ERS2541103,55907,47946
ERS2541109,62769,47263
ERS1142755,66306,48118
ERS2541149,55270,47809
ERS1142753,67601,47938
ERS542406,63974,47664
ERS1142752,67837,48033
ERS1142895,61800,48027
ERS2541405,59425,47391
ERS1142690,58694,48248
ERS1142757,67977,48028
ERS1142726,69281,47957
ERS1142747,62080,48239
ERS1142758,66051,48046
ERS1142746,64886,48141
ERS2541404,60141,47429
ERS1142745,64536,48099
ERS1142760,67153,48092
ERS2541403,58718,47490
ERS2541402,60352,47535
ERS1142750,67102,48099
ERS542309,56434,47403
ERS1142865,61924,47835
ERS542340,56722,47559
ERS1142849,82051,48000
ERS1142848,70133,48149
ERS542520,56619,47679
ERS1142847,67316,48227
ERS1142883,59657,48410
ERS1142843,73818,48121
ERS1142842,76362,48139
ERS1142850,69629,48094
ERS1142841,78184,48071
ERS1142838,69129,48173
ERS1142837,61548,48333
ERS1142835,57539,48340
ERS1142834,63361,48308
ERS1142703,67494,48094
ERS542326,55923,47384
ERS1142830,78989,48106
ERS1142887,60136,48219
ERS2541102,59876,47209
ERS1142852,59547,48475
ERS1142878,60409,48384
ERS1142869,59053,48246
ERS1142864,68816,48191
ERS1142863,64828,48260
ERS542540,56208,47353
ERS542539,56926,47513
ERS1142862,64183,48330
ERS1142871,61486,48365
ERS542536,56567,47474
ERS1142861,60937,48377
ERS1142873,64207,47883
ERS542554,56920,47440
ERS1142874,62325,48303
ERS1142875,62716,48274
ERS542558,55667,47500
ERS1142855,59163,48230
ERS1142854,60423,48241
ERS1142877,60618,48336
ERS1142829,68150,48257
ERS542342,56702,47353
ERS1142827,66984,48243
ERS542366,53224,48053
ERS1142801,58715,48297
ERS1142800,64471,48237
ERS542459,62729,47247
ERS542325,54780,47447
ERS542312,54688,47286
ERS1142797,71199,48159
ERS1142719,65263,48180
ERS542344,56759,47638
ERS1142794,71342,48210
ERS1142720,68215,48073
ERS1142721,67202,48043
ERS2541396,56132,47807
ERS1142722,67320,48131
ERS1142790,71992,48122
ERS542445,62267,47528
ERS1142789,69769,48185
ERS1142693,59160,48316
ERS1142724,70970,47986
ERS1142716,69239,47973
ERS542468,62463,47276
ERS542498,55180,47864
ERS542497,56447,47701
ERS1142826,71471,48190
ERS542494,53894,46395
ERS1142823,79490,48031
ERS542311,56308,47310
ERS542484,62794,47354
ERS1142819,63030,48262
ERS1142818,75626,48112
ERS1142817,67580,48281
ERS1142815,75531,48143
ERS1142691,57846,48360
ERS1142814,62581,48313
ERS1142813,62020,48154
ERS1142808,67629,48168
ERS542471,65048,47459
ERS542470,61487,47181
ERS1142806,65219,48229
ERS2541395,54569,47952
ERS2541114,55317,48036
ERS2541300,54256,47336
ERS2541312,55696,47045
ERS2541307,56475,47469
ERS2541016,56692,47658
ERS2541060,62177,47172
ERS2541349,56518,47798
ERS2541107,58813,47551
ERS2541332,60231,47188
ERS2541222,59505,47229
ERS2541348,56143,47634
ERS2541280,60412,47093
ERS2541347,56297,47729
ERS2541346,54620,48043
ERS2541345,59236,47419
ERS2541221,57866,47511
ERS2541241,57053,47542
ERS2541166,56560,47541
ERS2541135,57394,47212
ERS2541344,56469,47794
ERS2541141,56182,47534
ERS2541286,54757,47758
ERS2541219,57359,47590
ERS2540948,59926,47552
ERS2540967,63426,47118
ERS2541314,60956,47012
ERS2540937,53819,48033
ERS2541011,57705,47462
ERS2540939,58678,47478
ERS2541004,56341,47802
ERS2541010,58171,47114
ERS2541048,59219,47128
ERS2540946,61926,47569
ERS2541015,63825,47217
ERS2541026,57162,46815
ERS2540930,60349,46745
ERS2541074,62040,47187
ERS2541343,58102,47667
ERS2541027,59653,47695
ERS2541295,62304,47149
ERS2541291,60100,46683
ERS2541297,57406,47153
ERS2541298,61458,47238
ERS2541299,62675,47175
ERS2541294,60986,47195
ERS1142900,61817,48004
ERS2541272,63070,47330
ERS2541394,57455,47524
ERS2540954,57221,46964
ERS2541296,63214,46972
ERS2541186,59290,47400
ERS2541163,55090,47870
ERS2541213,58343,47613
ERS2541117,64521,47102
ERS2541267,62074,47165
ERS2541216,59367,47115
ERS2541275,60817,47121
ERS2541244,60547,47564
ERS2541098,59575,47334
ERS2541171,60222,47545
ERS2541259,60851,47204
ERS2541283,59434,47714
ERS2541157,54935,48132
ERS2541099,64266,47138
ERS2541116,63241,47238
ERS2540976,57206,47621
ERS2541292,56120,47660
ERS2541301,58863,47280
ERS2541293,58722,47349
ERS2541302,57263,47735
ERS2541025,57497,47573
ERS2541148,60951,46851
ERS2541204,57376,46980
ERS2541108,60184,47286
ERS2541342,59562,47567
ERS2541268,55758,47737
ERS2541289,55062,47813
ERS2541318,57662,47591
ERS2541323,63043,47574
ERS2541160,60199,47343
ERS2541177,57192,47506
ERS2541104,62642,47355
ERS2541225,60329,46882
ERS2541248,55248,47791
ERS2541093,58453,47546
ERS2541120,55243,47842
ERS2541190,58515,47164
ERS2541180,58158,47539
ERS2541146,57496,47629
ERS2541266,57692,47611
ERS2541288,59079,47288
ERS2541094,57799,47083
ERS2541250,57279,47078
ERS2541076,60032,47112
ERS542546,59419,46406
ERS2540982,60607,47159
ERS2541387,57032,47697
ERS2541386,58157,47608
ERS2541369,53110,48261
ERS2541385,57195,47603
ERS2541372,60056,47358
ERS2541384,54904,47920
ERS2541382,56018,47758
ERS2541368,57890,47665
ERS2541378,56497,47793
ERS2541379,57389,47637
ERS2541377,56143,47747
ERS2541367,55222,47897
ERS2541365,55520,47782
ERS2541020,63437,47131
ERS2541366,54526,47999
ERS2540940,60794,47246
ERS2541376,54727,48006
ERS2541375,58687,47675
ERS2541374,54511,47976
ERS2541388,58438,47442
ERS2541362,59541,47198
ERS2541364,55516,47919
ERS2541360,54984,47874
ERS2540929,61971,46990
ERS2541392,59361,47620
ERS2540990,57552,46916
ERS2541350,56350,47578
ERS2540997,59790,46971
ERS2541351,58495,47559
ERS2541352,56495,47691
ERS2541353,57992,47725
ERS2541340,59687,47303
ERS2541361,58773,47452
ERS2541354,60932,47524
ERS2541391,57307,47582
ERS2541355,54613,47982
ERS2541390,61075,47437
ERS2541356,55251,47869
ERS2541357,59836,47314
ERS2541389,59380,47447
ERS2541359,58207,47503
ERS2541380,58508,47723
ERS2541373,56247,47837
ERS1142889,61889,46894
ERS1142890,56926,46839
ERS1142899,60777,46593
ERS1142692,59876,46869
ERS2541202,61762,45849
ERS1142892,58417,46731
ERS542334,53753,45948
ERS2541220,59584,45953
ERS1142708,55941,47016
ERS2541086,60504,46147
ERS2541126,56489,46315
ERS2541284,57847,46226
ERS2541183,62713,45713
ERS542590,54296,46132
ERS2541081,53230,46543
ERS1142888,58505,46988
ERS1142870,59130,46949
ERS2541341,59290,46194
ERS542310,55994,46103
ERS2541381,55654,46340
ERS2541246,57091,46118
ERS1142894,59376,46706
ERS2541210,60659,45841
ERS1142880,60017,46877
ERS2541169,62977,45969
ERS2541207,58821,46006
ERS2541097,54670,46377
ERS1142893,57572,46847
ERS1142882,56203,46825
ERS1142885,59164,46888
ERS2541188,54442,46415
ERS1142886,57943,46756
ERS2541274,59556,46146
ERS2541087,53673,46415
ERS2541264,58373,45676
ERS542343,54817,46063
ERS1142710,56324,46995
ERS2541252,59499,45940
ERS2541208,53604,46535
ERS2541129,62961,46026
ERS2541176,56011,46261
ERS542599,55788,46102
ERS1142723,66623,46636
ERS2541242,55429,46236
ERS1142896,60652,46642
ERS542392,60360,46033
ERS1142725,64263,46666
ERS2541258,61167,45788
ERS2541240,59215,46067
ERS2541165,57662,45578
ERS542321,54580,45924
ERS542587,56229,46278
ERS2541335,56712,46168
ERS542586,54972,46134
ERS542598,52372,46625
ERS1142756,65225,46644
ERS1142754,65370,46701
ERS1142751,69091,46518
ERS2541358,54580,46316
ERS1142734,65564,46703
ERS1142748,63495,46732
ERS1142735,59228,46699
ERS1142736,59652,46814
ERS1142740,64909,46727
ERS1142898,59190,46922
ERS2541306,57203,45783
ERS2541096,59795,45783
ERS542328,54113,45967
ERS2541273,55220,46332
ERS542303,54978,46307
ERS542324,55125,46050
ERS1142711,61499,46778
ERS1142712,70344,46506
ERS2541315,53192,45981
ERS542335,54594,45813
ERS2541128,53763,46557
ERS1142713,66826,46647
ERS2541328,55339,46196
ERS1142709,65591,46617
ERS2541330,53834,46205
ERS1142715,56753,46908
ERS2541327,52840,46533
ERS2541230,57596,45908
ERS2541161,53523,46420
ERS1142717,65015,46686
ERS2541370,53807,46325
ERS542391,55369,46069
ERS2541122,58210,45950
ERS2541279,54420,46370
ERS1142718,61376,46785
ERS2541228,61526,45904
ERS2541112,57939,45529
ERS2541101,60899,45862
ERS2541162,56010,46260
ERS2541393,52891,46605
ERS2541303,57028,45719
ERS2541037,61805,45816
ERS1142763,63897,46682
ERS2541085,55722,45992
ERS1142764,66316,46475
ERS1142765,65032,46667
ERS2541205,57245,45957
ERS1142767,60909,46606
ERS2541251,57626,45720
ERS2541181,56724,45921
ERS2541194,57648,46020
ERS1142775,55819,46965
ERS1142776,55828,46846
ERS1142777,58702,46938
ERS1142778,55268,47053
ERS2541211,59070,45974
ERS1142781,56929,46680
ERS542578,56028,45957
ERS542301,54900,46159
ERS2541229,56663,45596
ERS2541234,56331,46121
ERS542440,61312,45916
ERS1142787,63745,46805
ERS542442,62354,45942
ERS2541150,53429,46516
ERS2541271,55086,46216
ERS1142793,69665,46754
ERS2541232,56826,46089
ERS542398,62444,46204
ERS2541032,56412,46200
ERS2541317,55012,46202
ERS2540963,54646,46096
ERS2541069,53941,46329
ERS2540999,55280,46086
ERS2541304,54570,46370
ERS2540993,55094,46615
ERS1142867,61410,46495
ERS2540974,59634,45778
ERS2540970,57386,46062
ERS2541054,55359,46323
ERS2540957,59693,45988
ERS2540949,58364,45689
ERS2541290,53067,46160
ERS2541319,63646,45858
ERS2541172,58106,46179
ERS2541167,56893,46266
ERS2541182,59177,45877
ERS2541215,56075,45740
ERS2541083,54151,46354
ERS2541124,55242,45473
ERS2541238,53940,46348
ERS2541236,58631,45889
ERS2541084,53905,46209
ERS542397,59789,45953
ERS542400,63066,45914
ERS542451,60250,45904
ERS2541142,56190,46025
ERS2541138,58774,45492
ERS2541331,54223,46473
ERS542501,52434,46593
ERS2541212,57947,46154
ERS1142832,67785,46622
ERS1142836,61007,46903
ERS1142839,64776,46772
ERS2541115,56619,46303
ERS1142844,58365,46922
ERS1142845,62178,46830
ERS2541334,57471,45897
ERS2541154,57742,45681
ERS542500,51731,46551
ERS1142851,68383,46785
ERS1142853,59625,46681
ERS2541164,59436,46174
ERS542452,58978,45873
ERS2541249,56466,46277
ERS1142858,57072,46795
ERS2541088,58483,45735
ERS2541111,61918,45807
ERS542389,53707,46068
ERS542537,55734,46010
ERS2541326,56157,46333
ERS1142866,60839,46690
ERS1142705,64053,46620
ERS1142702,64167,46682
ERS1142856,59300,46694
ERS1142825,69453,46885
ERS1142799,65610,46829
ERS542496,54538,46100
ERS1142802,61853,46863
ERS1142803,60739,46726
ERS1142795,73258,46719
ERS1142805,58517,46203
ERS1142807,64031,46785
ERS1142811,62369,46826
ERS1142812,58520,46959
ERS542341,55205,45815
ERS1142816,68914,46781
ERS1142804,59454,46737
ERS2541178,56605,46007
ERS542490,55328,46228
ERS1142701,68745,46506
ERS542489,53199,45936
ERS1142821,64922,46800
ERS2541336,57955,48339
ERS2540934,57239,48359
ERS2540987,60753,47483
ERS2540984,57005,48626
ERS2540966,57814,48432
ERS2540961,59727,48226
ERS2541031,54575,48638
ERS2541063,58960,47585
ERS2540960,56582,48489
ERS2541039,56217,48437
ERS2540977,56936,48501
ERS2541061,56281,48533
ERS2541045,57800,47436
ERS2541044,58014,48207
ERS2541064,55563,48798
ERS2540933,56282,48438
ERS2541313,56652,48585
ERS2540968,56981,48408
ERS2541021,57492,47993
ERS2541196,62173,47634
ERS2541041,56305,48652
ERS2541066,55585,48817
ERS2541073,56948,48570
ERS2540969,56236,48687
ERS2540941,57783,47885
ERS2541371,56964,48467
ERS2541008,56085,48605
ERS2541184,56424,48315
ERS2540932,58178,48473
ERS2541136,58102,48415
ERS2541270,62364,47862
ERS2541113,58090,48237
ERS2541121,61230,47769
ERS2541140,56946,48103
ERS2540962,58574,48382
ERS2541147,56818,48371
ERS2540994,57920,48397
ERS2540998,61787,48080
ERS2540952,62919,47903
ERS2540979,58944,48305
ERS2541363,59620,48146
ERS2541075,65889,47947
ERS2541067,62497,48246
ERS2541022,63411,47809
ERS2540980,58133,48239
ERS2540951,58967,47943
ERS2540988,56516,48459
ERS2541038,54920,48750
ERS2540989,56538,48472
ERS2540956,61036,47840
ERS2541018,54624,49025
ERS1142868,63603,49144
ERS1142857,63889,48760
ERS1142881,60657,49078
ERS542527,58182,48391
ERS1142876,61376,48874
ERS1142759,70990,48734
ERS2541024,61941,48158
ERS2540996,59187,48276
ERS2540923,61633,48011
ERS2541320,59542,48491
ERS2540928,60509,48250
ERS2540978,61953,48147
ERS2541036,56175,48565
ERS2540947,61274,48212
ERS2541035,61219,48040
ERS2540981,61629,48225
ERS2541072,56580,47903
ERS2541055,61210,48146
ERS2540959,59668,48302
ERS2540935,60361,48240
ERS2541324,60535,47739
ERS2541333,56968,48340
ERS2541003,59006,48468
ERS1142706,58059,49300
ERS1142846,63794,49154
ERS1142761,69174,48806
ERS1142704,70777,48787
ERS1142791,66916,49016
ERS542336,57875,48207
ERS542453,63081,48087
ERS1142798,61809,48599
ERS1142820,61772,48566
ERS1142785,65375,49063
ERS1142824,61125,48963
ERS542436,63217,48207
ERS2541000,55740,48659
ERS542434,62649,47967
ERS2540927,57620,48433
ERS542429,62440,48119
ERS1142774,58324,49115
ERS1142769,69477,48735
ERS1142768,70296,48660
ERS1142707,64832,48881
ERS1142697,64070,48977
ERS1142831,69400,48971
ERS1142743,66437,48894
ERS1142840,68119,49000
ERS1142731,67351,48746
ERS2541012,59673,48257
ERS1142788,65628,49099
ERS2541043,55187,48638
ERS2541159,56127,48702
ERS2541028,56475,48425
ERS2540986,61310,48498
ERS2541065,57041,48256
ERS2541071,59863,48168
ERS2541058,54543,49103
ERS2541029,55176,48904
ERS2541047,56483,48686
ERS2540995,55408,48708
ERS2540926,55870,48306
ERS2541001,55627,48704
ERS2541046,57032,48436
ERS2540985,55742,48557
ERS2541040,57526,48513
ERS2540983,55213,48651
ERS2540991,58839,48025
ERS2541034,56329,48648
ERS2540942,54930,48821
ERS2540924,59850,47951
ERS2541068,56356,48604
ERS1142859,63536,48765
ERS2541311,57982,47869
ERS2541059,64067,48007
ERS2541310,93810,47304
ERS2541023,56614,48560
ERS1142860,61511,48882
ERS2540958,56311,48689
ERS2541329,58103,48412
ERS2540938,56809,48415
ERS1142872,63463,48886
ERS2541053,57824,48460
ERS2541309,57718,48285
ERS2541019,56548,48078
ERS2541051,56034,48058
ERS2540965,59771,47590
ERS1142833,70563,48415
ERS2540944,56384,48117
ERS2540964,54679,48202
ERS2540971,58396,48606
ERS2541033,59327,48820
ERS2540973,57308,48937
ERS2540922,56878,49200
ERS2541030,60312,48510
ERS2540943,58348,49077
ERS2541017,58238,49222
ERS2541308,55399,49602
ERS1142786,65280,48026
ERS2541052,54182,47591
ERS2541005,57021,45896
ERS2541062,57349,47239
ERS2541009,55930,47024
ERS2541057,54007,48155
ERS1142695,29676,13774
ERS2541077,20501,13652
ERS2540992,24378,13618
ERS2541316,23102,12809
ERS2541014,7108,261
ERS2541002,21819,12934
ERS2541006,22040,12754
ERS2541007,8954,210
ERS2541013,19235,13045
ERS2541056,20539,12901
