sample,run,files
SRS409058,SRR576550,SRR576550.fastq
SRS409058,SRR576591,SRR576591.fastq
SRS409059,SRR576576,SRR576576.fastq
SRS409059,SRR576620,SRR576620.fastq
SRS409060,SRR576565,SRR576565.fastq
SRS409060,SRR576607,SRR576607.fastq
SRS409061,SRR576559,SRR576559.fastq
SRS409061,SRR576605,SRR576605.fastq
SRS409062,SRR576552,SRR576552.fastq
SRS409062,SRR576596,SRR576596.fastq
SRS409065,SRR576598,SRR576598.fastq
SRS409065,SRR576619,SRR576619.fastq
SRS409066,SRR576562,SRR576562.fastq
SRS409066,SRR576600,SRR576600.fastq
SRS409074,SRR576577,SRR576577.fastq
SRS409074,SRR576615,SRR576615.fastq
SRS409075,SRR576573,SRR576573.fastq
SRS409075,SRR576609,SRR576609.fastq
SRS409076,SRR576569,SRR576569.fastq
SRS409076,SRR576611,SRR576611.fastq
SRS409112,SRR576571,SRR576571.fastq
SRS409112,SRR576613,SRR576613.fastq
SRS409479,SRR576540,SRR576540.fastq
SRS409479,SRR576584,SRR576584.fastq
SRS409482,SRR576542,SRR576542.fastq
SRS409482,SRR576580,SRR576580.fastq
